/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v1_day ---
0:	learn: 1.9975269	total: 3.67ms	remaining: 598ms
1:	learn: 1.9197356	total: 7.51ms	remaining: 608ms
2:	learn: 1.8644445	total: 11.3ms	remaining: 608ms
3:	learn: 1.8134506	total: 15.4ms	remaining: 616ms
4:	learn: 1.7681787	total: 19.5ms	remaining: 620ms
5:	learn: 1.7330636	total: 23.3ms	remaining: 613ms
6:	learn: 1.7055051	total: 27.2ms	remaining: 611ms
7:	learn: 1.6806824	total: 30.9ms	remaining: 603ms
8:	learn: 1.6594135	total: 35ms	remaining: 603ms
9:	learn: 1.6386944	total: 38.9ms	remaining: 599ms
10:	learn: 1.6222424	total: 42.9ms	remaining: 597ms
11:	learn: 1.6079286	total: 46.8ms	remaining: 592ms
12:	learn: 1.5931338	total: 50.9ms	remaining: 591ms
13:	learn: 1.5802411	total: 54.7ms	remaining: 586ms
14:	learn: 1.5676015	total: 58.6ms	remaining: 582ms
15:	learn: 1.5548528	total: 62.6ms	remaining: 579ms
16:	learn: 1.5435865	total: 66.6ms	remaining: 575ms
17:	learn: 1.5331641	total: 70.4ms	remaining: 571ms
18:	learn: 1.5241439	total: 74.4ms	remaining: 568ms
19:	learn: 1.5126698	total: 78.4ms	remaining: 564ms
20:	learn: 1.5052416	total: 82.5ms	remaining: 562ms
21:	learn: 1.4970655	total: 86.4ms	remaining: 558ms
22:	learn: 1.4906346	total: 90.3ms	remaining: 553ms
23:	learn: 1.4833592	total: 94.1ms	remaining: 549ms
24:	learn: 1.4760616	total: 98ms	remaining: 545ms
25:	learn: 1.4694164	total: 102ms	remaining: 542ms
26:	learn: 1.4626078	total: 106ms	remaining: 538ms
27:	learn: 1.4570702	total: 110ms	remaining: 534ms
28:	learn: 1.4508308	total: 114ms	remaining: 529ms
29:	learn: 1.4445044	total: 118ms	remaining: 525ms
30:	learn: 1.4391726	total: 121ms	remaining: 520ms
31:	learn: 1.4334887	total: 125ms	remaining: 516ms
32:	learn: 1.4282134	total: 129ms	remaining: 512ms
33:	learn: 1.4229817	total: 133ms	remaining: 508ms
34:	learn: 1.4169729	total: 137ms	remaining: 504ms
35:	learn: 1.4117552	total: 140ms	remaining: 499ms
36:	learn: 1.4056340	total: 144ms	remaining: 495ms
37:	learn: 1.4005943	total: 148ms	remaining: 492ms
38:	learn: 1.3956652	total: 153ms	remaining: 489ms
39:	learn: 1.3909337	total: 157ms	remaining: 486ms
40:	learn: 1.3847692	total: 161ms	remaining: 483ms
41:	learn: 1.3801553	total: 165ms	remaining: 479ms
