/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v2_day ---
0:	learn: 2.1908860	total: 1.77ms	remaining: 479ms
104:	learn: 1.6712389	total: 1.23s	remaining: 1.96s
105:	learn: 1.6688208	total: 1.23s	remaining: 1.93s
106:	learn: 1.6662868	total: 1.23s	remaining: 1.9s
107:	learn: 1.6638275	total: 1.24s	remaining: 1.88s
108:	learn: 1.6613363	total: 1.24s	remaining: 1.85s
109:	learn: 1.6574584	total: 1.24s	remaining: 1.82s
110:	learn: 1.6537536	total: 1.24s	remaining: 1.8s
111:	learn: 1.6502473	total: 1.24s	remaining: 1.77s
112:	learn: 1.6472373	total: 1.24s	remaining: 1.75s
113:	learn: 1.6431478	total: 1.24s	remaining: 1.72s
114:	learn: 1.6391664	total: 1.24s	remaining: 1.7s
115:	learn: 1.6353841	total: 1.25s	remaining: 1.68s
116:	learn: 1.6334078	total: 1.34s	remaining: 1.78s
117:	learn: 1.6309051	total: 1.46s	remaining: 1.9s
118:	learn: 1.6277596	total: 1.46s	remaining: 1.88s
119:	learn: 1.6239966	total: 1.47s	remaining: 1.87s
120:	learn: 1.6205935	total: 1.48s	remaining: 1.84s
121:	learn: 1.6171754	total: 1.48s	remaining: 1.82s
122:	learn: 1.6141454	total: 1.49s	remaining: 1.8s
123:	learn: 1.6108847	total: 1.49s	remaining: 1.78s
124:	learn: 1.6087105	total: 1.49s	remaining: 1.75s
125:	learn: 1.6043252	total: 1.49s	remaining: 1.73s
126:	learn: 1.6014077	total: 1.49s	remaining: 1.7s
127:	learn: 1.5996370	total: 1.49s	remaining: 1.68s
128:	learn: 1.5968426	total: 1.5s	remaining: 1.66s
129:	learn: 1.5946916	total: 1.5s	remaining: 1.64s
130:	learn: 1.5909448	total: 1.5s	remaining: 1.61s
131:	learn: 1.5869614	total: 1.5s	remaining: 1.59s
132:	learn: 1.5834094	total: 1.5s	remaining: 1.57s
133:	learn: 1.5796002	total: 1.5s	remaining: 1.55s
134:	learn: 1.5761786	total: 1.5s	remaining: 1.53s
135:	learn: 1.5736811	total: 1.5s	remaining: 1.5s
136:	learn: 1.5689127	total: 1.53s	remaining: 1.51s
