/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v1_week ---
101:	learn: 1.3068455	total: 1.77s	remaining: 3.26s
102:	learn: 1.3059481	total: 1.78s	remaining: 3.23s
103:	learn: 1.3013100	total: 1.81s	remaining: 3.23s
104:	learn: 1.2965285	total: 1.83s	remaining: 3.23s
105:	learn: 1.2933350	total: 1.84s	remaining: 3.2s
106:	learn: 1.2887650	total: 1.89s	remaining: 3.23s
107:	learn: 1.2856349	total: 1.92s	remaining: 3.23s
108:	learn: 1.2814339	total: 1.94s	remaining: 3.21s
109:	learn: 1.2805904	total: 1.94s	remaining: 3.18s
110:	learn: 1.2738602	total: 1.95s	remaining: 3.15s
111:	learn: 1.2691756	total: 1.99s	remaining: 3.16s
112:	learn: 1.2670240	total: 2.01s	remaining: 3.15s
113:	learn: 1.2644474	total: 2.03s	remaining: 3.14s
114:	learn: 1.2606917	total: 2.04s	remaining: 3.1s
115:	learn: 1.2570154	total: 2.04s	remaining: 3.06s
116:	learn: 1.2533518	total: 2.05s	remaining: 3.03s
117:	learn: 1.2494788	total: 2.05s	remaining: 2.99s
118:	learn: 1.2489143	total: 2.06s	remaining: 2.96s
119:	learn: 1.2461232	total: 2.06s	remaining: 2.92s
120:	learn: 1.2422481	total: 2.08s	remaining: 2.9s
121:	learn: 1.2405287	total: 2.11s	remaining: 2.9s
122:	learn: 1.2368906	total: 2.11s	remaining: 2.87s
123:	learn: 1.2345634	total: 2.12s	remaining: 2.84s
124:	learn: 1.2336540	total: 2.13s	remaining: 2.81s
125:	learn: 1.2303629	total: 2.13s	remaining: 2.77s
126:	learn: 1.2277918	total: 2.13s	remaining: 2.74s
127:	learn: 1.2253127	total: 2.14s	remaining: 2.71s
128:	learn: 1.2218260	total: 2.16s	remaining: 2.69s
129:	learn: 1.2194680	total: 2.16s	remaining: 2.66s
130:	learn: 1.2180682	total: 2.17s	remaining: 2.63s
131:	learn: 1.2141400	total: 2.17s	remaining: 2.6s
132:	learn: 1.2115151	total: 2.18s	remaining: 2.57s
133:	learn: 1.2080115	total: 2.19s	remaining: 2.54s
134:	learn: 1.2027785	total: 2.19s	remaining: 2.51s
135:	learn: 1.1993573	total: 2.19s	remaining: 2.48s
136:	learn: 1.1964058	total: 2.2s	remaining: 2.46s
137:	learn: 1.1947080	total: 2.2s	remaining: 2.43s
138:	learn: 1.1917793	total: 2.21s	remaining: 2.4s
139:	learn: 1.1867823	total: 2.24s	remaining: 2.4s
140:	learn: 1.1819098	total: 2.26s	remaining: 2.39s
141:	learn: 1.1759301	total: 2.27s	remaining: 2.37s
142:	learn: 1.1737962	total: 2.3s	remaining: 2.36s
143:	learn: 1.1698414	total: 2.3s	remaining: 2.33s
144:	learn: 1.1657961	total: 2.33s	remaining: 2.33s
145:	learn: 1.1623531	total: 2.35s	remaining: 2.32s
146:	learn: 1.1591796	total: 2.36s	remaining: 2.3s
147:	learn: 1.1549744	total: 2.39s	remaining: 2.29s
148:	learn: 1.1540027	total: 2.39s	remaining: 2.26s
149:	learn: 1.1498322	total: 2.41s	remaining: 2.25s
150:	learn: 1.1467956	total: 2.42s	remaining: 2.23s
151:	learn: 1.1443249	total: 2.43s	remaining: 2.21s
